Industry,TAN-R-search
Food,0.060659
Beer,-0.016945
Toys,-0.028504
Books,0.048995
Hshld,0.172136
Clths,-0.047964
Hlth,-0.048755
MedEq,0.104421
Drugs,0.033623
Chems,0.003428
Rubbr,0.004108
Txtls,-0.055822
BldMt,-0.020788
Cnstr,-0.06001
Steel,-0.034677
FabPr,0.019491
Mach,0.026324
ElcEq,-0.0418
Autos,-0.047275
Aero,-0.056008
Ships,-0.047025
Guns,0.025606
Gold,-0.004558
Mines,0.008665
Coal,-0.060233
Oil,0.136074
Util,0.314328
Telcm,0.097375
PerSv,-0.016893
BusSv,0.006669
Comps,0.021458
Chips,0.009756
LabEq,-0.023761
Paper,0.063581
Boxes,0.042142
Trans,0.141167
Whlsl,0.138065
Rtail,0.105688
Meals,0.063125
Banks,-0.050087
Insur,-0.016664
RlEst,0.013939
Fin,0.016946
